observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180713_210000Z.aif_4976,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.643994,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_210000Z.aif_5030,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.78183,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_210000Z.aif_5054,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.507322,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_231500Z.aif_5108,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_231500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.514849,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_110000Z.aif_5239,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_110000Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.576861,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_121500Z.aif_5258,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_121500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.500236,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180714_171500Z.aif_5392,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180714_171500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.533543,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_011500Z.aif_5531,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_011500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.560843,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_011500Z.aif_5542,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_011500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.547822,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180715_071500Z.aif_5622,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180715_071500Z.aif,,,,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.55051,1-4-f,parm file = FW2O_p25.mat
